ROUTE_ID,노선명,순번,NODE_ID,ARS_ID,정류소명
105900004,성북20,25,107900238,8913,우성APT정문
122000010,6705B,25,122000707,23988,영동대교(가상)
100100570,6705A,25,122000707,23988,영동대교(가상)
100100571,6704,25,122000657,23328,선정릉역라마다서울호텔
100100567,6701,25,101000276,2649,서소문KAL빌딩
100100584,6010,25,113000465,14854,난지한강공원(가상)
100100205,2234,25,106000183,7278,신내9단지아파트
100100578,3321,25,124000127,25238,십자성마을
100100611,2312,25,124000194,25311,천동초교입구사거리
124000030,2312A,25,106000151,7246,사가정역
100100225,3413,25,124000133,25244,강동리바트
124000013,6103,25,161020572,92653,인천공항T2-회전구간(가상)
120900002,관악10,25,120900142,21866,두영아파트
107900012,성북06,25,107900243,8925,수녀원입구
100100387,8774,25,111000076,12164,응암초등학교
114900001,양천01,25,114000003,15103,목동3단지후문
108900005,강북04,25,108900034,9843,우광슈퍼
100100340,7021,25,112000125,13208,서대문구청
100100337,7017,25,112000074,13157,서대문구청.서대문구의회
100100362,7733,25,113000028,14118,월드컵파크2단지.에스플렉스센터
106000002,4,25,101000116,2221,숭의여대
108000002,1167,25,110000298,11399,신한은행중계동지점
100100148,1132,25,110000338,11439,동천학교
100100063,402,25,122000291,23395,대치아파트.대모산입구역3번출구
100100322,6654,25,118000194,19279,신길역5호선
100100339,7019,25,111000940,12473,응암초교.백련산힐스테이트3차
100100548,7714,25,111000038,12126,은평구청
111000010,7734,25,111000944,12477,녹번센트레빌아파트
100100348,7711,25,113000096,14187,성미약수터
100100143,1127,25,109000225,10313,금용아파트
116900005,구로14,25,116900125,17955,금강수목원아파트정문
100100261,5525,25,120000050,21151,당곡역2번출구.롯데백화점관악점
100100167,1157,25,109000157,10243,녹천역북부역
100100499,7212,25,111000160,12250,독박골.북한산래미안APT앞
100100342,7024,25,112000392,13324,연세로.문학의거리
100100137,1119,25,109000055,10140,자운고등학교앞
100100338,7018,25,100000006,1101,경기상고
100100313,6638,25,114000102,15205,봉영여중.목동고
115000012,6633,25,116900218,17949,동아1차아파트102동
100100612,3426,25,122000357,23474,수도공고앞
118900001,영등포04,25,118900090,19714,농협
100900001,종로06,25,100900150,1848,북악파크
100900002,종로13,25,100900152,1846,상명대입구
100100390,9403,25,206000076,47092,삼환아파트
100100415,6004,25,117000002,18002,문성초등학교
